"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03075099999","1934-03-16","58.458889","-3.093056","38.4","WICK, UK","  38.3"," 4","  34.0"," 4"," 977.9"," 4","999.9"," 0"," 12.4"," 4"," 17.0"," 4"," 36.9","999.9","  41.0"," ","  34.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-03-17","58.458889","-3.093056","38.4","WICK, UK","  39.5"," 4","  37.7"," 4"," 967.7"," 4","999.9"," 0","  9.3"," 4"," 18.0"," 4"," 29.9","999.9","  41.0"," ","  33.1"," ","99.99"," ","999.9","010000"
"03075099999","1934-03-18","58.458889","-3.093056","38.4","WICK, UK","  38.0"," 4","  37.0"," 4"," 974.6"," 4","999.9"," 0"," 10.9"," 4","  8.9"," 4","  8.9","999.9","  43.0","*","  32.0"," ","99.99"," ","999.9","010000"
"03075099999","1934-03-19","58.458889","-3.093056","38.4","WICK, UK","  39.0"," 4","  38.0"," 4"," 989.1"," 4","999.9"," 0"," 12.4"," 4","  5.1"," 4","  5.1","999.9","  45.0","*","  32.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-20","58.458889","-3.093056","38.4","WICK, UK","  40.5"," 4","  38.8"," 4","1003.5"," 4","999.9"," 0"," 12.4"," 4"," 10.3"," 4"," 18.1","999.9","  46.9"," ","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-21","58.458889","-3.093056","38.4","WICK, UK","  41.3"," 4","  39.5"," 4","1015.0"," 4","999.9"," 0"," 12.4"," 4","  8.9"," 4","  8.9","999.9","  45.0"," ","  35.1"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-22","58.458889","-3.093056","38.4","WICK, UK","  42.3"," 4","  40.5"," 4","1013.3"," 4","999.9"," 0"," 12.4"," 4"," 11.0"," 4"," 13.0","999.9","  45.0"," ","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-23","58.458889","-3.093056","38.4","WICK, UK","  40.0"," 4","  37.5"," 4","1016.6"," 4","999.9"," 0"," 12.4"," 4","  9.0"," 4"," 13.0","999.9","  46.0"," ","  30.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-24","58.458889","-3.093056","38.4","WICK, UK","  45.5"," 4","  43.7"," 4","1013.2"," 4","999.9"," 0"," 10.9"," 4"," 18.9"," 4"," 29.9","999.9","  50.0","*","  42.1","*","99.99"," ","999.9","010000"
"03075099999","1934-03-25","58.458889","-3.093056","38.4","WICK, UK","  42.7"," 4","  40.0"," 4","1022.5"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  55.0"," ","  34.0"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-26","58.458889","-3.093056","38.4","WICK, UK","  44.1"," 4","  39.2"," 4","1014.1"," 4","999.9"," 0"," 12.4"," 4"," 11.0"," 4"," 13.0","999.9","  48.9"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1934-03-27","58.458889","-3.093056","38.4","WICK, UK","  41.0"," 4","  33.5"," 4","1021.4"," 4","999.9"," 0"," 12.4"," 4","  9.0"," 4"," 13.0","999.9","  48.0"," ","  33.1"," "," 0.00","I","999.9","000000"
